1_N	1_T	2_N	2_T	3_N	3_T	4_N	4_T	5_N	5_T	6_N	6_T	7_N	7_T	8_N	8_T	9_N	9_T
FCN3	77.86	1.03	21.74	0.14	7.92	0.53	148.2	2.2	75.05	0.64	105.91	0.77	127.52	0.35	136.52	1.22	62.55	14.13
FREM2	0.97	0.01	0.86	0	0.41	0.01	0.69	0.01	0.72	0.01	0.37	0	0.98	0.01	0.64	0.01	1.36	0.05
OIT3	15.07	0.25	4.78	0.02	4.48	0.29	29.9	0.31	13.6	0.08	11.59	0.42	14.57	0.15	16.82	0.6	41	2.96
HOXA13	0.05	1.99	0.03	5.04	0.04	1.14	0.01	2.97	0.02	1.88	0	1.09	0	2.02	0.02	2.99	0	4.54
FCN2	28.87	0.14	2.56	0	10.96	0.05	16.53	0.32	31.28	0.06	29.83	0.25	16.51	0	32.08	1.24	77.51	1.49
CLEC1B	23.51	0.11	3.32	0.06	2.67	0	19.85	0	10.17	0	9.35	0	13.69	0.05	10.42	0.06	10.29	0.75
CPLX2	0	5.58	0	1.32	0.25	12.01	0.01	0	0.01	0.56	0.99	46.36	0	2.07	0.02	1.84	0.02	0.03
TINAG	0	0	0	4.62	0	0.02	0	0	0	7.92	0.58	43.5	0	18.74	0	4.32	0	10.77
GPR158	0.02	0.57	0.03	0.6	0.02	0.81	0.01	0.95	0	0.54	0.03	0.23	0.06	2.26	0.01	1.75	0.04	0.36
ZIC2	0.01	2.64	0	1.46	0.07	2	0	0.14	0	0.5	0.04	2.92	0	1.21	0.05	1.58	0	0.65
DBH	4.82	0.02	2.04	0	13.87	0.02	7.44	0.03	6.77	0.02	3.12	0.01	5.36	0.07	9.39	0.02	5.08	0.23
SFRP5	3.91	0	27.68	0.02	24.22	0.07	3.82	0	5.65	0	3.38	0.06	1.83	0.02	46.61	0	6.79	1.49
CXCL14	12.75	0.21	23.68	0.42	25.92	0.02	12.78	0.03	10.07	0.38	14.37	0	21.27	0.17	31.86	0.02	14	0.96
EPCAM	9.15	0	147.01	0.18	55.89	0.13	10.02	0.02	4.6	0.12	3.85	0.07	12.89	0.39	28.16	0.03	7.71	1.56
CHST4	5.04	0.04	30.78	0	18.15	0	2.75	0.01	3.22	0.02	1.42	0.02	1.16	0	18.34	0.02	5.05	1.52
MAGEA6	0.03	43.38	0	0.03	0	10.57	0	0.03	0	0	0	0.03	0	0.13	0.06	17.32	0	4.5
MARCO	39.69	0.07	13.61	0.1	16.07	3.65	50.07	1.08	20.6	0.22	42.63	0.68	12.96	0	37.06	0.07	49.32	0.84
LIN28B	0	4.22	0	0	0.01	0.57	0	0	0	0	0	0.01	0	4.97	0	0.32	0	2.92
FAM83D	0.36	7.1	0.35	2.29	0.96	8.95	0.15	1.45	0.58	1.12	0.42	10.34	0.91	10	0.7	18.28	0.64	10.5
CLEC4M	6.53	0	0.47	0	2.87	0.3	1.24	0	12.92	0	5.62	0	9.94	0	7.42	0	38.44	0.28
SLC7A11	0.03	1.67	0.08	0.22	0.46	4.14	0.02	0.1	0.04	0.27	0.06	2.95	0.1	0.93	0.07	0.65	0.06	1.24
DCAF4L2	0	32.52	0	0	0	0.21	0	0.06	0	0.01	0	0	0	0.02	0.08	25.56	0	3.15
TRIM55	5.36	10.63	0.57	3.54	0.38	6.2	4.93	24.97	4.28	26.94	4.09	47.34	0.78	79.46	0.85	54.52	7.1	25.27
CRHBP	39.86	4.75	9.87	1.21	8.38	0.24	38.18	0.41	10.71	5.09	11.29	0.22	32.64	0.18	23.95	1.81	23.42	4.2
CLDN10	4.46	0	34.95	0.07	20.24	0	0.76	0	2.52	0.02	0.89	0.05	2.1	0	13.82	0.02	2.61	0.6
CNTNAP4	0	1.73	0	0	0	1.17	0	0.05	0	0.01	0.01	0.59	0	0.58	0	0.41	0	1.06
MAGEA1	0	22.88	0	0.03	0.74	10.47	0	0.02	0	3.66	0.22	11.62	0	0.02	0.06	18.31	0	7.44
ASPM	0.12	2.26	0.36	1.04	0.46	6.17	0.06	0.2	0.04	0.22	0.24	6.2	0.32	1.24	0.34	2.96	0.06	1
PROM1	1.23	0.01	12.37	0.02	14.08	0.01	0.74	0	0.95	0.01	0.2	0.01	0.52	0.02	6.04	0	1.06	0.53
ECM1	10.45	0.29	25.44	1.09	15.08	1.58	23.33	1.73	14.36	3.92	18.14	0.59	17.07	0.92	22.28	0.4	33.5	6.4
